iter	Passed	Remaining
0	175	83009
1	205	48561
2	237	37256
3	270	31727
4	330	30996
5	377	29452
6	426	28425
7	493	28751
8	535	27651
9	589	27332
10	629	26490
11	660	25438
12	695	24660
13	734	24132
14	766	23441
15	798	22862
16	826	22209
17	857	21735
18	900	21575
19	954	21663
20	1000	21578
21	1035	21282
22	1080	21186
23	1159	21740
24	1206	21674
25	1272	21920
26	1323	21913
27	1446	23039
28	1531	23496
29	1572	23269
30	1606	22957
31	1645	22733
32	1681	22466
33	1725	22331
34	1764	22129
35	1799	21893
36	1835	21674
37	1874	21509
38	1911	21317
39	1948	21143
40	1981	20925
41	2017	20747
42	2054	20594
43	2096	20489
44	2140	20410
45	2176	20253
46	2206	20044
47	2237	19857
48	2264	19639
49	2297	19480
50	2325	19287
51	2356	19124
52	2383	18930
53	2415	18787
54	2444	18622
55	2476	18483
56	2503	18314
57	2537	18202
58	2590	18219
59	2630	18152
60	2683	18169
61	2724	18106
62	2766	18050
63	2806	17977
64	2840	17874
65	2868	17734
66	2914	17707
67	2950	17615
68	2975	17462
69	3006	17354
70	3037	17239
71	3072	17156
72	3105	17060
73	3139	16969
74	3164	16835
75	3199	16755
76	3229	16652
77	3261	16556
78	3289	16446
79	3321	16359
80	3353	16270
81	3386	16188
82	3416	16092
83	3445	15995
84	3474	15901
85	3508	15829
86	3538	15738
87	3570	15660
88	3599	15571
89	3631	15494
90	3658	15398
91	3690	15324
92	3716	15225
93	3749	15156
94	3778	15075
95	3812	15009
96	3842	14932
97	3874	14864
98	3903	14786
99	3937	14726
100	3973	14672
101	4004	14605
102	4107	14793
103	4169	14835
104	4195	14742
105	4219	14647
106	4247	14569
107	4278	14500
108	4308	14426
109	4334	14342
110	4368	14285
111	4389	14188
112	4410	14090
113	4439	14018
114	4464	13937
115	4497	13878
116	4527	13814
117	4560	13757
118	4609	13751
119	4641	13691
120	4674	13638
121	4703	13570
122	4729	13497
123	4757	13428
124	4803	13411
125	4847	13388
126	4894	13372
127	4956	13397
128	4993	13354
129	5026	13301
130	5066	13266
131	5094	13200
132	5138	13173
133	5170	13117
134	5202	13064
135	5238	13019
136	5263	12946
137	5292	12885
138	5317	12814
139	5348	12759
140	5377	12700
141	5399	12623
142	5422	12550
143	5452	12495
144	5478	12430
145	5507	12373
146	5542	12329
147	5568	12265
148	5598	12212
149	5625	12151
150	5651	12089
151	5686	12045
152	5795	12159
153	5842	12140
154	5865	12071
155	5891	12009
156	5923	11959
157	5950	11901
158	5979	11846
159	6009	11794
160	6038	11738
161	6066	11683
162	6088	11616
163	6124	11575
164	6149	11515
165	6173	11454
166	6193	11385
167	6210	11312
168	6237	11257
169	6256	11188
170	6275	11119
171	6296	11055
172	6313	10983
173	6331	10916
174	6347	10844
175	6368	10782
176	6386	10715
177	6403	10649
178	6423	10585
179	6444	10526
180	6461	10459
181	6480	10396
182	6495	10328
183	6515	10269
184	6534	10208
185	6552	10145
186	6572	10086
187	6593	10030
188	6609	9967
189	6629	9908
190	6643	9843
191	6664	9788
192	6684	9731
193	6700	9670
194	6720	9615
195	6741	9562
196	6758	9502
197	6777	9447
198	6793	9387
199	6813	9335
200	6834	9283
201	6850	9223
202	6870	9171
203	6891	9121
204	6906	9063
205	6930	9015
206	6950	8964
207	6967	8910
208	6994	8868
209	7025	8831
210	7058	8797
211	7102	8777
212	7138	8747
213	7165	8705
214	7193	8665
215	7211	8614
216	7232	8565
217	7257	8522
218	7280	8477
219	7295	8422
220	7323	8383
221	7344	8337
222	7359	8283
223	7378	8235
224	7397	8186
225	7415	8136
226	7436	8091
227	7451	8040
228	7470	7991
229	7490	7946
230	7505	7895
231	7523	7847
232	7539	7798
233	7559	7753
234	7579	7708
235	7595	7659
236	7613	7613
237	7628	7564
238	7651	7523
239	7669	7477
240	7685	7430
241	7703	7385
242	7724	7342
243	7741	7297
244	7760	7253
245	7774	7205
246	7796	7165
247	7815	7122
248	7831	7076
249	7849	7033
250	7866	6989
251	7887	6948
252	7906	6906
253	7925	6864
254	7948	6826
255	7967	6784
256	7982	6740
257	8000	6698
258	8022	6659
259	8039	6616
260	8058	6576
261	8073	6532
262	8095	6494
263	8113	6453
264	8129	6411
265	8147	6370
266	8164	6329
267	8186	6292
268	8205	6253
269	8220	6210
270	8242	6174
271	8256	6132
272	8274	6092
273	8332	6082
274	8400	6078
275	8437	6053
276	8453	6011
277	8469	5970
278	8486	5931
279	8501	5890
280	8516	5849
281	8532	5809
282	8554	5773
283	8570	5733
284	8588	5695
285	8603	5655
286	8620	5616
287	8635	5577
288	8650	5537
289	8665	5498
290	8681	5459
291	8696	5420
292	8711	5381
293	8727	5343
294	8742	5304
295	8759	5267
296	8775	5229
297	8790	5191
298	8804	5153
299	8820	5115
300	8835	5078
301	8850	5040
302	8866	5003
303	8880	4966
304	8898	4930
